id,local,location,count,weight,size,objective_size,latitude,longitude
1,경상북도,영덕고래불,421,3.4,0.008076,small,36.5998363,129.411597
2,충청남도,당진석문,218,2,0.009174,small,37.0005871,126.5919482
3,강원도,강릉송정,781,7.6,0.009731,small,37.7772052,128.9269702
4,강원도,동해노봉,1163,11.7,0.01006,small,38.848848,135
5,경상남도,마산봉암,903,9.7,0.010742,small,35.2246659,128.6061178
6,경상남도,거제두모,4614,54.7,0.011855,small,34.8806427,128.6210824
7,부산,부산해양대,1509,18.2,0.012061,small,35.0762886,129.0889751
8,경기도,시흥정왕,668,8.4,0.012575,small,37.351816,126.742844
9,울산,울산대왕암,1861,27.7,0.014884,small,35.4923951,129.4395603
10,부산,부산일광,2310,37.8,0.016364,small,35.2872012,129.2231705
11,경기도,화성서신,110,1.8,0.016364,small,37.1616306,126.8654604
12,강원도,속초청초,1118,18.7,0.016726,small,38.2017757,128.5888508
13,경상남도,통영욕지도,49102,880.6,0.017934,small,34.6357426,128.2493998
14,전라남도,여수안도,9999,194.4,0.019442,small,34.4863914,127.8102223
15,인천,인천백령도,657,12.9,0.019635,small,37.9590027,124.6653814
16,전라북도,군산선유도,199,4,0.020101,small,35.8106824,126.4162652
17,제주도,제주위미,1986,42.8,0.021551,small,33.302706,126.6568975
18,경상남도,고성하일,2004,46.4,0.023154,small,38.3773762,128.3997526
19,경기도,안산말부흥,114,2.9,0.025439,small,37.3218778,126.8308848
20,전라남도,고흥염포,367,10.1,0.02752,small,34.427231,127.495114
21,충청남도,보령삽시도,307,8.6,0.028013,small,36.340923,126.3562296
22,경상남도,울진후정,459,13.4,0.029194,small,37.0539345,129.414773
23,전라남도,여수백야도,368,11,0.029891,small,34.6197616,127.6399016
24,부산,부산가덕도,2613,80.9,0.030961,small,35.0526206,128.8310012
25,인천,강화여차리,415,13.1,0.031566,small,37.604776,126.3995664
26,전라남도,여수반월,251,8,0.031873,small,34.7603737,127.6622221
27,전라남도,완도보길도,2710,96.9,0.035756,small,34.1543815,126.5406825
28,인천,인천영흥도,59,2.2,0.037288,small,37.258639,126.4619553
29,전라남도,해남묵동리,311,11.7,0.037621,small,34.7060278,126.6633679
30,전라남도,여수거문도,3280,130.7,0.039848,small,34.0485456,127.3183346
31,울산,울주나사리,1450,58.7,0.040483,small,35.3615385,129.3412262
32,전라남도,진도하조도,194,8.6,0.04433,small,34.299912,126.0510585
33,경상북도,포항칠포,1256,56.9,0.045303,small,36.0929227,129.3052666
34,경상남도,통영망일봉,1361,66.8,0.049082,small,34.8486111,128.4397222
35,경상북도,포항구룡포,4181,236.8,0.056637,small,35.9853126,129.5354697
36,충청남도,태안백리포,941,56.5,0.060043,small,36.7456421,126.2980528
37,경상남도,사천아두도,407,26.6,0.065356,small,35.0481566,128.1102419
38,인천,인천영종도,81,5.5,0.067901,small,37.5000629,126.5358479
39,충청남도,태안안면도,850,64.6,0.076,small,36.5795048,126.3293372
40,전라남도,고흥신흥,328,27.9,0.085061,small,34.6112219,127.284978
41,울산,울산주전,1610,138.7,0.086149,small,35.5537228,129.2380554
42,전라남도,신안흑산도,8017,724.6,0.090383,small,34.6706637,125.4196376
43,경상남도,남해유구,311,33.7,0.10836,small,34.755287,127.849763
44,전라남도,완도평일도,893,98.3,0.110078,small,34.3504549,127.0436395
45,전라남도,완도신지도,765,88.6,0.115817,small,34.3306713,126.8509548
46,전라남도,신안우이도,3440,399.6,0.116163,small,34.6131494,125.8444875
47,전라남도,진도가사도,1501,186.6,0.124317,small,34.4815572,126.0499433
48,제주도,제주사계리,441,61.9,0.140363,small,33.2383758,126.3026575
49,전라북도,고창동호,728,104.3,0.143269,small,35.517837,126.484016
50,전라남도,해남송평,440,68.1,0.154773,small,34.5732516,126.5989274
51,제주도,제주김녕리,833,146,0.17527,small,33.5389636,126.7494481
52,전라남도,신안고장,534,109.8,0.205618,small,34.827332,126.101074
53,전라남도,신안임자도,132,30,0.227273,small,35.0889856,126.0876199
54,전라남도,신안압해도,261,66.8,0.255939,small,34.8693765,126.3109373
55,경상북도,울릉현포,1530,407.3,0.266209,small,37.4844171,130.9058002
56,전라남도,해남예락,385,113.5,0.294805,small,34.614218,126.292005
57,전라남도,영광백바위,246,78.8,0.320325,small,35.2428319,126.306262
58,충청남도,서천다사항,179,112,0.625698,middle,36.0965952,126.6127398
59,전라북도,부안변산,174,181.6,1.043678,big,35.680833,126.531389
60,충청남도,보령석대도,106,122.6,1.156604,big,36.2392619,126.5317247
,,,,,,,,